,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,292.7591113090515,5.003372655546585,13.206566381454468,0.31218648055022546,50,100,"{'max_depth': 50, 'n_estimators': 100}",0.78166875,0.78063125,0.7818,0.78176875,0.78159375,0.7814924999999999,0.0004367922847304067,9
1,589.776244688034,13.956174712955077,27.627221822738647,2.2728194971687294,50,200,"{'max_depth': 50, 'n_estimators': 200}",0.78186875,0.78128125,0.78258125,0.78218125,0.78193125,0.78196875,0.0004252940159466104,5
2,897.6204233646392,27.38871142525146,46.67347836494446,8.346691992982018,50,300,"{'max_depth': 50, 'n_estimators': 300}",0.7820625,0.78138125,0.782625,0.78261875,0.7822,0.7821775000000001,0.0004566624847740392,1
3,305.9871820449829,8.49646099848222,13.307530641555786,0.23381608794453926,100,100,"{'max_depth': 100, 'n_estimators': 100}",0.78160625,0.780375,0.7817625,0.781675,0.78151875,0.7813875,0.0005125457296671058,10
4,574.272412109375,9.843392125649983,25.94927234649658,0.2452150718675947,100,200,"{'max_depth': 100, 'n_estimators': 200}",0.7817375,0.78088125,0.7822625,0.7823125,0.782025,0.78184375,0.0005226136240091707,6
5,891.3872772216797,30.053365468002394,43.26036806106568,1.5909341761033051,100,300,"{'max_depth': 100, 'n_estimators': 300}",0.7821375,0.781175,0.78263125,0.78260625,0.78221875,0.78215375,0.0005282429601991946,2
6,312.56639180183413,10.27923747313387,13.511451530456544,0.31141401150503184,150,100,"{'max_depth': 150, 'n_estimators': 100}",0.78160625,0.780375,0.7817625,0.781675,0.78151875,0.7813875,0.0005125457296671058,10
7,602.4872152805328,27.511834110064633,26.452125787734985,0.7194777062414469,150,200,"{'max_depth': 150, 'n_estimators': 200}",0.7817375,0.78088125,0.7822625,0.7823125,0.782025,0.78184375,0.0005226136240091707,6
8,939.1867813587189,72.28509942755456,44.5546865940094,1.3697733285795475,150,300,"{'max_depth': 150, 'n_estimators': 300}",0.7821375,0.781175,0.78263125,0.78260625,0.78221875,0.78215375,0.0005282429601991946,2
9,299.50931544303893,10.135206093384399,13.197723817825317,0.24860598682442905,200,100,"{'max_depth': 200, 'n_estimators': 100}",0.78160625,0.780375,0.7817625,0.781675,0.78151875,0.7813875,0.0005125457296671058,10
10,593.0336916446686,26.97251548383771,25.704027700424195,0.5193907559990938,200,200,"{'max_depth': 200, 'n_estimators': 200}",0.7817375,0.78088125,0.7822625,0.7823125,0.782025,0.78184375,0.0005226136240091707,6
11,914.8978098869324,38.25731426279363,42.98967003822327,1.5739971528471,200,300,"{'max_depth': 200, 'n_estimators': 300}",0.7821375,0.781175,0.78263125,0.78260625,0.78221875,0.78215375,0.0005282429601991946,2
